"sf__Id","sf__Created",Name,Sheet_ID__c,HP_URL__c,Main_Phone__c,Status__c
"a0WfP000008FY9dUAG","true","ニチベイサービス株式会社","23000","https://www.nichibei-service.co.jp/","03-3664-7716","未着手"
"a0WfP000008FY9eUAG","true","ニチモウフーズ株式会社","23001","https://www.nichimofoods.co.jp/","03-3524-8886","未着手"
"a0WfP000008FY9fUAG","true","ニチモウロジスティクス株式会社","23002","https://www.n-cary.jp/","092-273-2567","未着手"
"a0WfP000008FY9gUAG","true","ニチユー株式会社","23003","https://www.nichiyu.net/","","未着手"
"a0WfP000008FY9hUAG","true","ニチラク機械株式会社","23004","https://www.nichiraku.co.jp","011-384-3344","未着手"
"a0WfP000008FY9iUAG","true","ニチレイマグネット株式会社","23005","https://www.nichilaymagnet.co.jp/","06-6744-0911","未着手"
"a0WfP000008FY9jUAG","true","ニチレキグループ株式会社（旧：ニチレキ株式会社）","23006","https://www.nichireki.co.jp/","03-3265-1511","未着手"
"a0WfP000008FY9kUAG","true","ニチワ電機株式会社","23007","https://www.nichiwadenki.co.jp/","079-568-0581","未着手"
"a0WfP000008FY9lUAG","true","ニッカウヰスキー株式会社","23008","https://www.nikka.com/","03-3498-0331","未着手"
"a0WfP000008FY9mUAG","true","ニツカチエン株式会社","23009","http://www.nikkachain.co.jp/","03-3874-5125","未着手"
"a0WfP000008FY9nUAG","true","ニッカディスティラリーサービス株式会社","23010","https://www.nikka.com/company/overview.html","0135-23-4611","未着手"
"a0WfP000008FY9oUAG","true","ニッカプランニング株式会社","23011","https://nikka-pl.com/","","未着手"
"a0WfP000008FY9pUAG","true","ニッカホーム株式会社","23012","https://www.nikka-home.co.jp/","052-877-7549","未着手"
"a0WfP000008FY9qUAG","true","ニッカホーム関東株式会社","23013","https://www.nikka-home.co.jp/","03-5752-8118","未着手"
"a0WfP000008FY9rUAG","true","ニッカル商工株式会社","23014","https://nikkal.net/","03-5735-2970","未着手"
"a0WfP000008FY9sUAG","true","ニツカン工業株式会社","23015","https://www.nikkan-ind.co.jp/","03-3723-9851","未着手"
"a0WfP000008FY9tUAG","true","ニッカ株式会社","23016","https://www.nikka-ltd.jp","","未着手"
"a0WfP000008FY9uUAG","true","ニッカ航空サービス株式会社","23017","http://www.worldclub-japan.co.jp/","","未着手"
"a0WfP000008FY9vUAG","true","ニッカ電測株式会社","23018","http://www.nikka-densok.co.jp/","","未着手"
"a0WfP000008FY9wUAG","true","ニッキー株式会社","23019","https://www.nikki-gr.co.jp/","","未着手"
"a0WfP000008FY9xUAG","true","ニッキトライシステム株式会社","23020","https://www.nicki.co.jp/","0263-47-8885","未着手"
"a0WfP000008FY9yUAG","true","ニッキャビ株式会社","23021","http://www.niccabi.co.jp/","044-766-2111","未着手"
"a0WfP000008FY9zUAG","true","ニッキ工業株式会社","23022","http://www.nikki-kogyo.co.jp/","055-921-2723","未着手"
"a0WfP000008FYA0UAO","true","ニックス株式会社","23023","https://nixx.co.jp/","","未着手"
"a0WfP000008FYA1UAO","true","ニッケイ株式会社","23024","https://www.nikkey.co.jp/","03-3473-7316","未着手"
"a0WfP000008FYA2UAO","true","ニッケル．エンド．ライオンス株式会社","23025","https://www.nickel.co.jp/","078-341-7781","未着手"
"a0WfP000008FYA3UAO","true","ニッケンかみそり株式会社","23026","https://www.nikkenkamisori.co.jp/","0575-22-1611","未着手"
"a0WfP000008FYA4UAO","true","ニッケン建設株式会社","23027","https://www.nikkenkensetsu.co.jp/","048-421-4860","未着手"
"a0WfP000008FYA5UAO","true","ニッケン刃物株式会社","23028","https://www.nikken-cutlery.com/","0575-24-0161","未着手"
"a0WfP000008FYA6UAO","true","ニッケン文具株式会社","23029","https://nkcompass.co.jp/","06-6747-7711","未着手"
"a0WfP000008FYA7UAO","true","ニッケ商事株式会社","23030","https://www.nikkeshoji.co.jp/","06-6233-1431","未着手"
"a0WfP000008FYA8UAO","true","ニッコー・ハンセン株式会社","23031","http://www.nikko-hansen.jp/","06-4801-7727","未着手"
"a0WfP000008FYA9UAO","true","ニッコー・マテリアルズ株式会社","23032","http://www.nikko-materials.com/","045-620-9480","未着手"
"a0WfP000008FYAAUA4","true","ニッコーエクステリア株式会社","23033","https://nikko-ex.jp/","","未着手"
"a0WfP000008FYABUA4","true","ニッコーテクノ株式会社","23034","https://www.nikko-techno.co.jp/","03-3255-7931","未着手"
"a0WfP000008FYACUA4","true","ニッコーム株式会社","23035","https://www.nikkohm.co.jp/","0176-53-2105","未着手"
"a0WfP000008FYADUA4","true","ニッコー株式会社","23036","https://www.nikko-company.co.jp/","076-276-2121","未着手"
"a0WfP000008FYAEUA4","true","ニッコー厚産株式会社","23037","https://www.jsw.co.jp/ja/guide/network/subsidiary.html","03-5745-2130","未着手"
"a0WfP000008FYAFUA4","true","ニッコー電機株式会社","23038","http://www.nikkohdenki.co.jp/","06-6633-2501","未着手"
"a0WfP000008FYAGUA4","true","ニツコー熔材工業株式会社","23039","https://www.nikko-yozai.co.jp/","06-6651-9024","未着手"
"a0WfP000008FYAHUA4","true","ニッコンホールディングス株式会社","23040","https://www.nikkon-hd.co.jp/","03-3541-5330","未着手"
"a0WfP000008FYAIUA4","true","ニッサン・モータースポーツ・インターナショナル株式会社","23041","https://www.nismo.co.jp/","045-505-8520","未着手"
"a0WfP000008FYAJUA4","true","ニッシンコーポレーション株式会社","23042","https://www.nisshin-corp.co.jp/","06-6426-2000","未着手"
"a0WfP000008FYAKUA4","true","ニッシンシステム株式会社","23043","http://www.nis-sys.co.jp/","06-6353-7020","未着手"
"a0WfP000008FYALUA4","true","ニッシンテクニス株式会社","23044","https://www.nissin-technis.jp/","0567-95-2427","未着手"
"a0WfP000008FYAMUA4","true","ニッシントーア・岩尾株式会社","23045","https://www.nisshintoaiwao.co.jp/index.html","03-3668-1861","未着手"
"a0WfP000008FYANUA4","true","ニッスイ・エンジニアリング株式会社","23046","https://www.nen.co.jp/","03-6453-7800","未着手"
